Company Name,Location,Gross Floor Area (m²),Annual Electricity Use (2020),Annual Electricity Use (2021),Annual Electricity Use (2022),Annual Electricity Use (2023),Annual Electricity Use (2024),Electricity Use Intensity (kWh/m²),Operating Hours per Week,Number of Employees,Electricity Use Intensity (2020) (kWh/m²),Electricity Use Intensity (2021) (kWh/m²),Electricity Use Intensity (2022) (kWh/m²),Electricity Use Intensity (2023) (kWh/m²),Electricity Use Intensity (2024) (kWh/m²)
PowerEdge Manufacturing,"Mississauga, ON",12000,1800000,1820000,1850000,1870000,1900000,150,60,300,150.0,151.66666666666666,154.16666666666666,155.83333333333334,158.33333333333334
UrbanSolutions Inc.,"Mississauga, ON",15000,2250000,2280000,2300000,2350000,2380000,150,70,450,150.0,152.0,153.33333333333334,156.66666666666666,158.66666666666666
MetroHealth Clinics,"Mississauga, ON",10000,1500000,1530000,1560000,1590000,1620000,150,65,200,150.0,153.0,156.0,159.0,162.0
TechGrowth Innovations,"Mississauga, ON",18000,2700000,2730000,2760000,2780000,2800000,150,75,500,150.0,151.66666666666666,153.33333333333334,154.44444444444446,155.55555555555554
EliteFinance Services,"Mississauga, ON",14000,2100000,2130000,2160000,2180000,2200000,150,55,250,150.0,152.14285714285714,154.28571428571428,155.71428571428572,157.14285714285714
RetailGiant Warehouse,"Mississauga, ON",22000,3300000,3350000,3400000,3450000,3500000,160,85,600,150.0,152.27272727272728,154.54545454545453,156.8181818181818,159.0909090909091
GreenFuture Technologies,"Mississauga, ON",25000,5000000,5100000,5200000,5300000,5400000,200,100,700,200.0,204.0,208.0,212.0,216.0
SmartMove Transport,"Mississauga, ON",20000,4000000,4050000,4100000,4150000,4200000,200,90,550,200.0,202.5,205.0,207.5,210.0
FoodPro Essentials,"Mississauga, ON",16000,2400000,2450000,2500000,2550000,2600000,150,80,400,150.0,153.125,156.25,159.375,162.5
CleanLife Services,"Mississauga, ON",9000,1350000,1380000,1410000,1440000,1470000,150,50,150,150.0,153.33333333333334,156.66666666666666,160.0,163.33333333333334
