Year,Organization,Electricity Use - Grid Purchase (kWh),Natural Gas Use (GJ)
2023,The Corporation of the City of Markham,117164.2,688.8
2023,The Corporation of the City of Markham,223028.3,1459.5
2023,The Corporation of the City of Markham,158233,76
2023,The Corporation of the City of Markham,97678.5,656.5
2023,The Corporation of the City of Markham,134095.7,1081
2023,The Corporation of the City of Markham,87425.1,739.5
2023,The Corporation of the City of Markham,67550.1,485.6
2023,The Corporation of the City of Markham,141421.4,1197.8
2023,The Corporation of the City of Markham,90431.6,20
2023,The Corporation of the City of Markham,55716.7,439.8
2023,The Corporation of the City of Markham,495980.8,1729.1
2023,The Corporation of the City of Markham,241209.3,339
2023,The Corporation of the City of Markham,32391.6,98.7
2023,The Corporation of the City of Markham,7130.7,138.7
2023,The Corporation of the City of Markham,334784.9,2013.6
2023,The Corporation of the City of Markham,3878.5,56.2
2023,The Corporation of the City of Markham,851436.6,407.1
2023,The Corporation of the City of Markham,4980.9,171
2023,The Corporation of the City of Markham,3578.8,250.6
2023,The Corporation of the City of Markham,17377,Not Available
2023,The Corporation of the City of Markham,239119.8,1945
2023,The Corporation of the City of Markham,1096.2,4112.8
2023,The Corporation of the City of Markham,1980599.5,0
2023,The Corporation of the City of Markham,2746989.2,10432.5
2023,The Corporation of the City of Markham,3024827.2,6432.2
2023,The Corporation of the City of Markham,602750.8,1330.2
2023,The Corporation of the City of Markham,1500093.9,10561.1
2023,The Corporation of the City of Markham,Not Available,945.8
2023,The Corporation of the City of Markham,Not Available,84.8
2023,The Corporation of the City of Markham,485209.5,1526.5
2023,The Corporation of the City of Markham,884577,1788.4
2023,The Corporation of the City of Markham,213763.1,1575.1
2023,The Corporation of the City of Markham,480442.9,1027.4
2023,The Corporation of the City of Markham,568586,2301.4
2023,The Corporation of the City of Markham,6599.6,222.5
2023,The Corporation of the City of Markham,675.6,Not Available
2023,The Corporation of the City of Markham,54265.3,1218.7
2023,The Corporation of the City of Markham,44108.3,Not Available
2023,The Corporation of the City of Markham,32562.6,161
2023,The Corporation of the City of Markham,245956.1,1473.6
2023,The Corporation of the City of Markham,3518071.3,Not Available
2023,The Corporation of the City of Markham,355296.9,146.7
2023,The Corporation of the City of Markham,2719525.8,20
2023,City of Brampton,5014368.2,22187.4
2023,City of Brampton,1800525.1,35972.5
2023,City of Brampton,2171878.5,6272.9
2023,City of Brampton,1933363.4,8218.7
2023,City of Brampton,1114059,4865.2
2023,City of Brampton,Not Available,8120.2
2023,City of Brampton,360848.6,1051
2023,City of Brampton,1970282.1,18445.7
2023,City of Brampton,604505.3,4850.8
2023,City of Brampton,676058.1,4376.7
2023,City of Brampton,685681.7,3884.2
2023,City of Brampton,1961650.3,3947.5
2023,City of Brampton,Not Available,6546.4
2023,City of Brampton,737080,2699.6
2023,City of Brampton,878044.5,3919.6
2023,City of Brampton,1230013.5,2029.2
2023,City of Brampton,4609876.3,22481.1
2023,City of Brampton,5498936.5,46058.5
2023,City of Brampton,2762467.7,6327.6
2023,City of Brampton,167517.6,511.5
2023,City of Brampton,3839387.2,25392
2023,City of Brampton,605337.3,2824.7
2023,City of Brampton,1012813.7,788.2
2023,City of Brampton,635120.6,4230
2023,City of Brampton,601908.2,1634.5
2023,City of Brampton,Not Available,141.1
2023,City of Brampton,414525.8,1016.5
2023,City of Brampton,194060.7,1494.2
2023,City of Brampton,339323.3,1935.2
2023,City of Brampton,141538.8,1202.1
2023,City of Brampton,199291.7,4508.3
2023,City of Brampton,281118.8,2237.8
2023,City of Brampton,238464.4,1887.9
2023,City of Brampton,1639526.5,9159
2023,City of Brampton,2794083.3,6096.6
2023,City of Brampton,353275.2,1640.9
2023,City of Brampton,Not Available,5707.3
2023,City of Brampton,Not Available,226.3
2023,City of Brampton,4553.8,291.5
2023,City of Brampton,7052.7,499.8
2023,City of Brampton,100304.8,185.6
2023,City of Brampton,13310.3,396.1
2023,City of Brampton,62176.7,25
2023,City of Brampton,408496.7,Not Available
2023,City of Brampton,2657.9,Not Available
2023,City of Brampton,26119.9,186.6
2023,City of Brampton,240850.5,754.2
2023,City of Brampton,Not Available,134.6
2023,City of Brampton,5654.5,35.6
2023,City of Brampton,32214,1.3
2023,City of Brampton,53325.7,97.2
2023,City of Brampton,164672.1,389
2023,City of Brampton,230019.8,1201.8
2023,City of Brampton,Not Available,59
2023,City of Brampton,519456.6,Not Available
2023,City of Brampton,29435.1,Not Available
