Company Name,Location,Year,Month,Gross Floor Area (m²),Monthly Electricity Use (kWh),Electricity Use Intensity (kWh/m²),Operating Hours per Week,Number of Employees
EduSmart Learning,"Hamilton, ON",2020,January,15000,180000.0,150.0,70,250
EduSmart Learning,"Hamilton, ON",2020,February,15000,180250.52192066800,150.20876826722300,70,250
EduSmart Learning,"Hamilton, ON",2020,March,15000,180501.04384133600,150.41753653444700,70,250
EduSmart Learning,"Hamilton, ON",2020,April,15000,180751.56576200400,150.62630480167000,70,250
EduSmart Learning,"Hamilton, ON",2020,May,15000,181002.08768267200,150.83507306889400,70,250
EduSmart Learning,"Hamilton, ON",2020,June,15000,181252.6096033400,151.0438413361170,70,250
EduSmart Learning,"Hamilton, ON",2020,July,15000,181503.13152400800,151.2526096033400,70,250
EduSmart Learning,"Hamilton, ON",2020,August,15000,181753.6534446760,151.46137787056400,70,250
EduSmart Learning,"Hamilton, ON",2020,September,15000,182004.17536534400,151.67014613778700,70,250
EduSmart Learning,"Hamilton, ON",2020,October,15000,182254.69728601300,151.87891440501000,70,250
EduSmart Learning,"Hamilton, ON",2020,November,15000,182505.21920668100,152.08768267223400,70,250
EduSmart Learning,"Hamilton, ON",2020,December,15000,182755.74112734900,152.2964509394570,70,250
EduSmart Learning,"Hamilton, ON",2021,January,15000,183006.2630480170,152.50521920668100,72,255
EduSmart Learning,"Hamilton, ON",2021,February,15000,183256.78496868500,152.71398747390400,72,255
EduSmart Learning,"Hamilton, ON",2021,March,15000,183507.30688935300,152.92275574112700,72,255
EduSmart Learning,"Hamilton, ON",2021,April,15000,183757.82881002100,153.13152400835100,72,255
EduSmart Learning,"Hamilton, ON",2021,May,15000,184008.35073068900,153.34029227557400,72,255
EduSmart Learning,"Hamilton, ON",2021,June,15000,184258.872651357,153.5490605427980,72,255
EduSmart Learning,"Hamilton, ON",2021,July,15000,184509.39457202500,153.75782881002100,72,255
EduSmart Learning,"Hamilton, ON",2021,August,15000,184759.9164926930,153.96659707724400,72,255
EduSmart Learning,"Hamilton, ON",2021,September,15000,185010.43841336100,154.17536534446800,72,255
EduSmart Learning,"Hamilton, ON",2021,October,15000,185260.96033402900,154.38413361169100,72,255
EduSmart Learning,"Hamilton, ON",2021,November,15000,185511.48225469700,154.5929018789140,72,255
EduSmart Learning,"Hamilton, ON",2021,December,15000,185762.00417536500,154.80167014613800,72,255
EduSmart Learning,"Hamilton, ON",2022,January,15000,186012.5260960330,155.01043841336100,74,260
EduSmart Learning,"Hamilton, ON",2022,February,15000,186263.04801670100,155.21920668058500,74,260
EduSmart Learning,"Hamilton, ON",2022,March,15000,186513.56993737000,155.42797494780800,74,260
EduSmart Learning,"Hamilton, ON",2022,April,15000,186764.09185803800,155.63674321503100,74,260
EduSmart Learning,"Hamilton, ON",2022,May,15000,187014.61377870600,155.8455114822550,74,260
EduSmart Learning,"Hamilton, ON",2022,June,15000,187265.1356993740,156.05427974947800,74,260
EduSmart Learning,"Hamilton, ON",2022,July,15000,187515.65762004200,156.26304801670100,74,260
EduSmart Learning,"Hamilton, ON",2022,August,15000,187766.17954071000,156.47181628392500,74,260
EduSmart Learning,"Hamilton, ON",2022,September,15000,188016.70146137800,156.68058455114800,74,260
EduSmart Learning,"Hamilton, ON",2022,October,15000,188267.22338204600,156.8893528183720,74,260
EduSmart Learning,"Hamilton, ON",2022,November,15000,188517.745302714,157.09812108559500,74,260
EduSmart Learning,"Hamilton, ON",2022,December,15000,188768.26722338200,157.30688935281800,74,260
EduSmart Learning,"Hamilton, ON",2023,January,15000,189018.7891440500,157.51565762004200,76,265
EduSmart Learning,"Hamilton, ON",2023,February,15000,189269.31106471800,157.72442588726500,76,265
EduSmart Learning,"Hamilton, ON",2023,March,15000,189519.83298538600,157.93319415448900,76,265
EduSmart Learning,"Hamilton, ON",2023,April,15000,189770.35490605400,158.1419624217120,76,265
EduSmart Learning,"Hamilton, ON",2023,May,15000,190020.87682672200,158.35073068893500,76,265
EduSmart Learning,"Hamilton, ON",2023,June,15000,190271.3987473900,158.55949895615900,76,265
EduSmart Learning,"Hamilton, ON",2023,July,15000,190521.92066805800,158.76826722338200,76,265
EduSmart Learning,"Hamilton, ON",2023,August,15000,190772.44258872700,158.97703549060500,76,265
EduSmart Learning,"Hamilton, ON",2023,September,15000,191022.96450939500,159.1858037578290,76,265
EduSmart Learning,"Hamilton, ON",2023,October,15000,191273.48643006300,159.39457202505200,76,265
EduSmart Learning,"Hamilton, ON",2023,November,15000,191524.0083507310,159.60334029227600,76,265
EduSmart Learning,"Hamilton, ON",2023,December,15000,191774.53027139900,159.81210855949900,76,265
MedEquip Supplies,"Hamilton, ON",2020,January,10000,192025.0521920670,160.02087682672200,60,200
MedEquip Supplies,"Hamilton, ON",2020,February,10000,192275.57411273500,160.22964509394600,60,200
MedEquip Supplies,"Hamilton, ON",2020,March,10000,192526.09603340300,160.4384133611690,60,200
MedEquip Supplies,"Hamilton, ON",2020,April,10000,192776.61795407100,160.64718162839200,60,200
MedEquip Supplies,"Hamilton, ON",2020,May,10000,193027.13987473900,160.85594989561600,60,200
MedEquip Supplies,"Hamilton, ON",2020,June,10000,193277.6617954070,161.06471816283900,60,200
MedEquip Supplies,"Hamilton, ON",2020,July,10000,193528.18371607500,161.27348643006300,60,200
MedEquip Supplies,"Hamilton, ON",2020,August,10000,193778.70563674300,161.482254697286,60,200
MedEquip Supplies,"Hamilton, ON",2020,September,10000,194029.22755741100,161.6910229645090,60,200
MedEquip Supplies,"Hamilton, ON",2020,October,10000,194279.74947807900,161.89979123173300,60,200
MedEquip Supplies,"Hamilton, ON",2020,November,10000,194530.2713987470,162.10855949895600,60,200
MedEquip Supplies,"Hamilton, ON",2020,December,10000,194780.79331941500,162.31732776618000,60,200
MedEquip Supplies,"Hamilton, ON",2021,January,10000,195031.3152400840,162.52609603340300,62,205
MedEquip Supplies,"Hamilton, ON",2021,February,10000,195281.83716075200,162.7348643006260,62,205
MedEquip Supplies,"Hamilton, ON",2021,March,10000,195532.35908142000,162.94363256785000,62,205
MedEquip Supplies,"Hamilton, ON",2021,April,10000,195782.88100208800,163.15240083507300,62,205
MedEquip Supplies,"Hamilton, ON",2021,May,10000,196033.40292275600,163.36116910229600,62,205
MedEquip Supplies,"Hamilton, ON",2021,June,10000,196283.9248434240,163.56993736952000,62,205
MedEquip Supplies,"Hamilton, ON",2021,July,10000,196534.44676409200,163.7787056367430,62,205
MedEquip Supplies,"Hamilton, ON",2021,August,10000,196784.96868476000,163.9874739039670,62,205
MedEquip Supplies,"Hamilton, ON",2021,September,10000,197035.49060542800,164.19624217119000,62,205
MedEquip Supplies,"Hamilton, ON",2021,October,10000,197286.01252609600,164.40501043841300,62,205
MedEquip Supplies,"Hamilton, ON",2021,November,10000,197536.5344467640,164.61377870563700,62,205
MedEquip Supplies,"Hamilton, ON",2021,December,10000,197787.05636743200,164.82254697286000,62,205
MedEquip Supplies,"Hamilton, ON",2022,January,10000,198037.5782881000,165.0313152400840,64,210
MedEquip Supplies,"Hamilton, ON",2022,February,10000,198288.10020876800,165.24008350730700,64,210
MedEquip Supplies,"Hamilton, ON",2022,March,10000,198538.62212943600,165.44885177453000,64,210
MedEquip Supplies,"Hamilton, ON",2022,April,10000,198789.14405010400,165.65762004175400,64,210
MedEquip Supplies,"Hamilton, ON",2022,May,10000,199039.66597077200,165.86638830897700,64,210
MedEquip Supplies,"Hamilton, ON",2022,June,10000,199290.1878914410,166.0751565762000,64,210
MedEquip Supplies,"Hamilton, ON",2022,July,10000,199540.70981210900,166.2839248434240,64,210
MedEquip Supplies,"Hamilton, ON",2022,August,10000,199791.23173277700,166.49269311064700,64,210
MedEquip Supplies,"Hamilton, ON",2022,September,10000,200041.75365344500,166.70146137787100,64,210
MedEquip Supplies,"Hamilton, ON",2022,October,10000,200292.27557411300,166.91022964509400,64,210
MedEquip Supplies,"Hamilton, ON",2022,November,10000,200542.7974947810,167.11899791231700,64,210
MedEquip Supplies,"Hamilton, ON",2022,December,10000,200793.31941544900,167.3277661795410,64,210
MedEquip Supplies,"Hamilton, ON",2023,January,10000,201043.8413361170,167.53653444676400,66,215
MedEquip Supplies,"Hamilton, ON",2023,February,10000,201294.36325678500,167.74530271398700,66,215
MedEquip Supplies,"Hamilton, ON",2023,March,10000,201544.88517745300,167.95407098121100,66,215
MedEquip Supplies,"Hamilton, ON",2023,April,10000,201795.4070981210,168.16283924843400,66,215
MedEquip Supplies,"Hamilton, ON",2023,May,10000,202045.92901878900,168.37160751565800,66,215
MedEquip Supplies,"Hamilton, ON",2023,June,10000,202296.4509394570,168.580375782881,66,215
MedEquip Supplies,"Hamilton, ON",2023,July,10000,202546.97286012500,168.78914405010400,66,215
MedEquip Supplies,"Hamilton, ON",2023,August,10000,202797.49478079300,168.99791231732800,66,215
MedEquip Supplies,"Hamilton, ON",2023,September,10000,203048.01670146100,169.20668058455100,66,215
MedEquip Supplies,"Hamilton, ON",2023,October,10000,203298.53862212900,169.41544885177500,66,215
MedEquip Supplies,"Hamilton, ON",2023,November,10000,203549.0605427980,169.6242171189980,66,215
MedEquip Supplies,"Hamilton, ON",2023,December,10000,203799.58246346600,169.8329853862210,66,215
AgroGoods Ltd.,"Hamilton, ON",2020,January,30000,204050.10438413400,170.0417536534450,150,700
AgroGoods Ltd.,"Hamilton, ON",2020,February,30000,204300.62630480200,170.25052192066800,150,700
AgroGoods Ltd.,"Hamilton, ON",2020,March,30000,204551.14822547000,170.45929018789100,150,700
AgroGoods Ltd.,"Hamilton, ON",2020,April,30000,204801.6701461380,170.66805845511500,150,700
AgroGoods Ltd.,"Hamilton, ON",2020,May,30000,205052.19206680600,170.8768267223380,150,700
AgroGoods Ltd.,"Hamilton, ON",2020,June,30000,205302.7139874740,171.08559498956200,150,700
AgroGoods Ltd.,"Hamilton, ON",2020,July,30000,205553.23590814200,171.29436325678500,150,700
AgroGoods Ltd.,"Hamilton, ON",2020,August,30000,205803.75782881000,171.50313152400800,150,700
AgroGoods Ltd.,"Hamilton, ON",2020,September,30000,206054.27974947800,171.71189979123200,150,700
AgroGoods Ltd.,"Hamilton, ON",2020,October,30000,206304.80167014600,171.9206680584550,150,700
AgroGoods Ltd.,"Hamilton, ON",2020,November,30000,206555.3235908140,172.1294363256790,150,700
AgroGoods Ltd.,"Hamilton, ON",2020,December,30000,206805.84551148200,172.3382045929020,150,700
AgroGoods Ltd.,"Hamilton, ON",2021,January,30000,207056.36743215000,172.54697286012500,155,710
AgroGoods Ltd.,"Hamilton, ON",2021,February,30000,207306.88935281800,172.75574112734900,155,710
AgroGoods Ltd.,"Hamilton, ON",2021,March,30000,207557.41127348600,172.96450939457200,155,710
AgroGoods Ltd.,"Hamilton, ON",2021,April,30000,207807.9331941550,173.1732776617950,155,710
AgroGoods Ltd.,"Hamilton, ON",2021,May,30000,208058.45511482300,173.38204592901900,155,710
AgroGoods Ltd.,"Hamilton, ON",2021,June,30000,208308.9770354910,173.59081419624200,155,710
AgroGoods Ltd.,"Hamilton, ON",2021,July,30000,208559.49895615900,173.79958246346600,155,710
AgroGoods Ltd.,"Hamilton, ON",2021,August,30000,208810.02087682700,174.00835073068900,155,710
AgroGoods Ltd.,"Hamilton, ON",2021,September,30000,209060.54279749500,174.2171189979120,155,710
AgroGoods Ltd.,"Hamilton, ON",2021,October,30000,209311.06471816300,174.4258872651360,155,710
AgroGoods Ltd.,"Hamilton, ON",2021,November,30000,209561.5866388310,174.6346555323590,155,710
AgroGoods Ltd.,"Hamilton, ON",2021,December,30000,209812.10855949900,174.84342379958200,155,710
AgroGoods Ltd.,"Hamilton, ON",2022,January,30000,210062.63048016700,175.05219206680600,160,720
AgroGoods Ltd.,"Hamilton, ON",2022,February,30000,210313.15240083500,175.26096033402900,160,720
AgroGoods Ltd.,"Hamilton, ON",2022,March,30000,210563.67432150300,175.4697286012530,160,720
AgroGoods Ltd.,"Hamilton, ON",2022,April,30000,210814.1962421710,175.678496868476,160,720
AgroGoods Ltd.,"Hamilton, ON",2022,May,30000,211064.71816283900,175.88726513569900,160,720
AgroGoods Ltd.,"Hamilton, ON",2022,June,30000,211315.24008350700,176.09603340292300,160,720
AgroGoods Ltd.,"Hamilton, ON",2022,July,30000,211565.76200417500,176.30480167014600,160,720
AgroGoods Ltd.,"Hamilton, ON",2022,August,30000,211816.28392484300,176.5135699373700,160,720
AgroGoods Ltd.,"Hamilton, ON",2022,September,30000,212066.8058455120,176.72233820459300,160,720
AgroGoods Ltd.,"Hamilton, ON",2022,October,30000,212317.32776618000,176.9311064718160,160,720
