Company Name,Location,Year,Month,Gross Floor Area (m²),Monthly Electricity Use (kWh),Electricity Use Intensity (kWh/m²),Operating Hours per Week,Number of Employees
Green Solutions Ltd.,"Ottawa, ON",2020,January,8000,80000.0,100.0,50,300
Green Solutions Ltd.,"Ottawa, ON",2020,February,8000,80250.52192066810,100.20876826722300,50,300
Green Solutions Ltd.,"Ottawa, ON",2020,March,8000,80501.04384133610,100.41753653444700,50,300
Green Solutions Ltd.,"Ottawa, ON",2020,April,8000,80751.56576200420,100.62630480167000,50,300
Green Solutions Ltd.,"Ottawa, ON",2020,May,8000,81002.08768267220,100.83507306889400,50,300
Green Solutions Ltd.,"Ottawa, ON",2020,June,8000,81252.60960334030,101.04384133611700,50,300
Green Solutions Ltd.,"Ottawa, ON",2020,July,8000,81503.13152400840,101.25260960334000,50,300
Green Solutions Ltd.,"Ottawa, ON",2020,August,8000,81753.65344467640,101.46137787056400,50,300
Green Solutions Ltd.,"Ottawa, ON",2020,September,8000,82004.17536534450,101.67014613778700,50,300
Green Solutions Ltd.,"Ottawa, ON",2020,October,8000,82254.69728601250,101.87891440501000,50,300
Green Solutions Ltd.,"Ottawa, ON",2020,November,8000,82505.21920668060,102.08768267223400,50,300
Green Solutions Ltd.,"Ottawa, ON",2020,December,8000,82755.74112734860,102.2964509394570,50,300
Green Solutions Ltd.,"Ottawa, ON",2021,January,8000,83006.2630480167,102.50521920668100,52,310
Green Solutions Ltd.,"Ottawa, ON",2021,February,8000,83256.78496868480,102.71398747390400,52,310
Green Solutions Ltd.,"Ottawa, ON",2021,March,8000,83507.30688935280,102.92275574112700,52,310
Green Solutions Ltd.,"Ottawa, ON",2021,April,8000,83757.82881002090,103.13152400835100,52,310
Green Solutions Ltd.,"Ottawa, ON",2021,May,8000,84008.35073068890,103.34029227557400,52,310
Green Solutions Ltd.,"Ottawa, ON",2021,June,8000,84258.872651357,103.54906054279700,52,310
Green Solutions Ltd.,"Ottawa, ON",2021,July,8000,84509.39457202510,103.75782881002100,52,310
Green Solutions Ltd.,"Ottawa, ON",2021,August,8000,84759.91649269310,103.96659707724400,52,310
Green Solutions Ltd.,"Ottawa, ON",2021,September,8000,85010.43841336120,104.17536534446800,52,310
Green Solutions Ltd.,"Ottawa, ON",2021,October,8000,85260.96033402920,104.38413361169100,52,310
Green Solutions Ltd.,"Ottawa, ON",2021,November,8000,85511.48225469730,104.5929018789140,52,310
Green Solutions Ltd.,"Ottawa, ON",2021,December,8000,85762.00417536540,104.80167014613800,52,310
Green Solutions Ltd.,"Ottawa, ON",2022,January,8000,86012.5260960334,105.01043841336100,53,315
Green Solutions Ltd.,"Ottawa, ON",2022,February,8000,86263.04801670150,105.21920668058500,53,315
Green Solutions Ltd.,"Ottawa, ON",2022,March,8000,86513.56993736950,105.42797494780800,53,315
Green Solutions Ltd.,"Ottawa, ON",2022,April,8000,86764.09185803760,105.63674321503100,53,315
Green Solutions Ltd.,"Ottawa, ON",2022,May,8000,87014.61377870560,105.8455114822550,53,315
Green Solutions Ltd.,"Ottawa, ON",2022,June,8000,87265.1356993737,106.05427974947800,53,315
Green Solutions Ltd.,"Ottawa, ON",2022,July,8000,87515.65762004180,106.26304801670100,53,315
Green Solutions Ltd.,"Ottawa, ON",2022,August,8000,87766.17954070980,106.47181628392500,53,315
Green Solutions Ltd.,"Ottawa, ON",2022,September,8000,88016.70146137790,106.68058455114800,53,315
Green Solutions Ltd.,"Ottawa, ON",2022,October,8000,88267.22338204590,106.8893528183720,53,315
Green Solutions Ltd.,"Ottawa, ON",2022,November,8000,88517.74530271400,107.09812108559500,53,315
Green Solutions Ltd.,"Ottawa, ON",2022,December,8000,88768.26722338210,107.30688935281800,53,315
Green Solutions Ltd.,"Ottawa, ON",2023,January,8000,89018.7891440501,107.51565762004200,55,320
Green Solutions Ltd.,"Ottawa, ON",2023,February,8000,89269.31106471820,107.72442588726500,55,320
Green Solutions Ltd.,"Ottawa, ON",2023,March,8000,89519.83298538620,107.93319415448900,55,320
Green Solutions Ltd.,"Ottawa, ON",2023,April,8000,89770.35490605430,108.1419624217120,55,320
Green Solutions Ltd.,"Ottawa, ON",2023,May,8000,90020.87682672230,108.35073068893500,55,320
Green Solutions Ltd.,"Ottawa, ON",2023,June,8000,90271.3987473904,108.55949895615900,55,320
Green Solutions Ltd.,"Ottawa, ON",2023,July,8000,90521.92066805850,108.76826722338200,55,320
Green Solutions Ltd.,"Ottawa, ON",2023,August,8000,90772.44258872650,108.97703549060500,55,320
Green Solutions Ltd.,"Ottawa, ON",2023,September,8000,91022.96450939460,109.18580375782900,55,320
Green Solutions Ltd.,"Ottawa, ON",2023,October,8000,91273.48643006260,109.39457202505200,55,320
Green Solutions Ltd.,"Ottawa, ON",2023,November,8000,91524.00835073070,109.60334029227600,55,320
Green Solutions Ltd.,"Ottawa, ON",2023,December,8000,91774.53027139880,109.81210855949900,55,320
AutoDrive Manufacturing,"Ottawa, ON",2020,January,25000,92025.05219206680,110.02087682672200,95,580
AutoDrive Manufacturing,"Ottawa, ON",2020,February,25000,92275.57411273490,110.22964509394600,95,580
AutoDrive Manufacturing,"Ottawa, ON",2020,March,25000,92526.09603340290,110.4384133611690,95,580
AutoDrive Manufacturing,"Ottawa, ON",2020,April,25000,92776.61795407100,110.64718162839200,95,580
AutoDrive Manufacturing,"Ottawa, ON",2020,May,25000,93027.13987473900,110.85594989561600,95,580
AutoDrive Manufacturing,"Ottawa, ON",2020,June,25000,93277.6617954071,111.06471816283900,95,580
AutoDrive Manufacturing,"Ottawa, ON",2020,July,25000,93528.18371607520,111.27348643006300,95,580
AutoDrive Manufacturing,"Ottawa, ON",2020,August,25000,93778.70563674320,111.48225469728600,95,580
AutoDrive Manufacturing,"Ottawa, ON",2020,September,25000,94029.22755741130,111.69102296450900,95,580
AutoDrive Manufacturing,"Ottawa, ON",2020,October,25000,94279.74947807930,111.89979123173300,95,580
AutoDrive Manufacturing,"Ottawa, ON",2020,November,25000,94530.27139874740,112.10855949895600,95,580
AutoDrive Manufacturing,"Ottawa, ON",2020,December,25000,94780.79331941550,112.31732776618000,95,580
AutoDrive Manufacturing,"Ottawa, ON",2021,January,25000,95031.31524008350,112.52609603340300,98,590
AutoDrive Manufacturing,"Ottawa, ON",2021,February,25000,95281.83716075160,112.7348643006260,98,590
AutoDrive Manufacturing,"Ottawa, ON",2021,March,25000,95532.35908141960,112.94363256785000,98,590
AutoDrive Manufacturing,"Ottawa, ON",2021,April,25000,95782.88100208770,113.15240083507300,98,590
AutoDrive Manufacturing,"Ottawa, ON",2021,May,25000,96033.40292275580,113.36116910229600,98,590
AutoDrive Manufacturing,"Ottawa, ON",2021,June,25000,96283.9248434238,113.56993736952000,98,590
AutoDrive Manufacturing,"Ottawa, ON",2021,July,25000,96534.44676409190,113.77870563674300,98,590
AutoDrive Manufacturing,"Ottawa, ON",2021,August,25000,96784.96868475990,113.9874739039670,98,590
AutoDrive Manufacturing,"Ottawa, ON",2021,September,25000,97035.49060542800,114.19624217119000,98,590
AutoDrive Manufacturing,"Ottawa, ON",2021,October,25000,97286.01252609600,114.40501043841300,98,590
AutoDrive Manufacturing,"Ottawa, ON",2021,November,25000,97536.5344467641,114.61377870563700,98,590
AutoDrive Manufacturing,"Ottawa, ON",2021,December,25000,97787.05636743220,114.82254697286000,98,590
AutoDrive Manufacturing,"Ottawa, ON",2022,January,25000,98037.57828810020,115.0313152400840,100,600
AutoDrive Manufacturing,"Ottawa, ON",2022,February,25000,98288.10020876830,115.24008350730700,100,600
AutoDrive Manufacturing,"Ottawa, ON",2022,March,25000,98538.62212943630,115.44885177453000,100,600
AutoDrive Manufacturing,"Ottawa, ON",2022,April,25000,98789.14405010440,115.65762004175400,100,600
AutoDrive Manufacturing,"Ottawa, ON",2022,May,25000,99039.66597077250,115.86638830897700,100,600
AutoDrive Manufacturing,"Ottawa, ON",2022,June,25000,99290.1878914405,116.07515657620000,100,600
AutoDrive Manufacturing,"Ottawa, ON",2022,July,25000,99540.70981210860,116.2839248434240,100,600
AutoDrive Manufacturing,"Ottawa, ON",2022,August,25000,99791.23173277660,116.49269311064700,100,600
AutoDrive Manufacturing,"Ottawa, ON",2022,September,25000,100041.75365344500,116.70146137787100,100,600
