Company Name,Location,Year,Month,Gross Floor Area (m²),Monthly Electricity Use (kWh),Electricity Use Intensity (kWh/m²),Operating Hours per Week,Number of Employees
Urban Tech Solutions,"Toronto, ON",2020,January,12000,150000.0,150.0,60,350
Urban Tech Solutions,"Toronto, ON",2020,February,12000,150313.15240083500,150.31315240083500,60,350
Urban Tech Solutions,"Toronto, ON",2020,March,12000,150626.30480167000,150.62630480167000,60,350
Urban Tech Solutions,"Toronto, ON",2020,April,12000,150939.45720250500,150.93945720250500,60,350
Urban Tech Solutions,"Toronto, ON",2020,May,12000,151252.6096033400,151.2526096033400,60,350
Urban Tech Solutions,"Toronto, ON",2020,June,12000,151565.76200417500,151.56576200417500,60,350
Urban Tech Solutions,"Toronto, ON",2020,July,12000,151878.91440501000,151.87891440501000,60,350
Urban Tech Solutions,"Toronto, ON",2020,August,12000,152192.0668058460,152.1920668058460,60,350
Urban Tech Solutions,"Toronto, ON",2020,September,12000,152505.21920668100,152.50521920668100,60,350
Urban Tech Solutions,"Toronto, ON",2020,October,12000,152818.37160751600,152.81837160751600,60,350
Urban Tech Solutions,"Toronto, ON",2020,November,12000,153131.52400835100,153.13152400835100,60,350
Urban Tech Solutions,"Toronto, ON",2020,December,12000,153444.6764091860,153.4446764091860,60,350
Urban Tech Solutions,"Toronto, ON",2021,January,12000,153757.82881002100,153.75782881002100,62,360
Urban Tech Solutions,"Toronto, ON",2021,February,12000,154070.98121085600,154.07098121085600,62,360
Urban Tech Solutions,"Toronto, ON",2021,March,12000,154384.133611691,154.38413361169100,62,360
Urban Tech Solutions,"Toronto, ON",2021,April,12000,154697.2860125260,154.6972860125260,62,360
Urban Tech Solutions,"Toronto, ON",2021,May,12000,155010.43841336100,155.01043841336100,62,360
Urban Tech Solutions,"Toronto, ON",2021,June,12000,155323.59081419600,155.32359081419600,62,360
Urban Tech Solutions,"Toronto, ON",2021,July,12000,155636.7432150310,155.63674321503100,62,360
Urban Tech Solutions,"Toronto, ON",2021,August,12000,155949.89561586600,155.94989561586600,62,360
Urban Tech Solutions,"Toronto, ON",2021,September,12000,156263.04801670100,156.26304801670100,62,360
Urban Tech Solutions,"Toronto, ON",2021,October,12000,156576.20041753700,156.57620041753700,62,360
Urban Tech Solutions,"Toronto, ON",2021,November,12000,156889.3528183720,156.8893528183720,62,360
Urban Tech Solutions,"Toronto, ON",2021,December,12000,157202.50521920700,157.20250521920700,62,360
Urban Tech Solutions,"Toronto, ON",2022,January,12000,157515.65762004200,157.51565762004200,61,355
Urban Tech Solutions,"Toronto, ON",2022,February,12000,157828.81002087700,157.82881002087700,61,355
Urban Tech Solutions,"Toronto, ON",2022,March,12000,158141.9624217120,158.1419624217120,61,355
Urban Tech Solutions,"Toronto, ON",2022,April,12000,158455.11482254700,158.45511482254700,61,355
Urban Tech Solutions,"Toronto, ON",2022,May,12000,158768.26722338200,158.76826722338200,61,355
Urban Tech Solutions,"Toronto, ON",2022,June,12000,159081.41962421700,159.08141962421700,61,355
Urban Tech Solutions,"Toronto, ON",2022,July,12000,159394.57202505200,159.39457202505200,61,355
Urban Tech Solutions,"Toronto, ON",2022,August,12000,159707.72442588700,159.70772442588700,61,355
Urban Tech Solutions,"Toronto, ON",2022,September,12000,160020.87682672200,160.02087682672200,61,355
Urban Tech Solutions,"Toronto, ON",2022,October,12000,160334.02922755700,160.3340292275570,61,355
Urban Tech Solutions,"Toronto, ON",2022,November,12000,160647.18162839200,160.64718162839200,61,355
Urban Tech Solutions,"Toronto, ON",2022,December,12000,160960.33402922800,160.96033402922800,61,355
Urban Tech Solutions,"Toronto, ON",2023,January,12000,161273.48643006300,161.27348643006300,60,365
Urban Tech Solutions,"Toronto, ON",2023,February,12000,161586.6388308980,161.5866388308980,60,365
Urban Tech Solutions,"Toronto, ON",2023,March,12000,161899.7912317330,161.89979123173300,60,365
Urban Tech Solutions,"Toronto, ON",2023,April,12000,162212.94363256800,162.21294363256800,60,365
Urban Tech Solutions,"Toronto, ON",2023,May,12000,162526.09603340300,162.52609603340300,60,365
Urban Tech Solutions,"Toronto, ON",2023,June,12000,162839.248434238,162.839248434238,60,365
Urban Tech Solutions,"Toronto, ON",2023,July,12000,163152.40083507300,163.15240083507300,60,365
Urban Tech Solutions,"Toronto, ON",2023,August,12000,163465.55323590800,163.46555323590800,60,365
Urban Tech Solutions,"Toronto, ON",2023,September,12000,163778.70563674300,163.7787056367430,60,365
Urban Tech Solutions,"Toronto, ON",2023,October,12000,164091.8580375780,164.09185803757800,60,365
Urban Tech Solutions,"Toronto, ON",2023,November,12000,164405.01043841300,164.40501043841300,60,365
Urban Tech Solutions,"Toronto, ON",2023,December,12000,164718.16283924800,164.71816283924800,60,365
EcoFuels Ltd.,"Toronto, ON",2020,January,14000,165031.3152400840,165.0313152400840,65,400
EcoFuels Ltd.,"Toronto, ON",2020,February,14000,165344.4676409190,165.3444676409190,65,400
EcoFuels Ltd.,"Toronto, ON",2020,March,14000,165657.62004175400,165.65762004175400,65,400
EcoFuels Ltd.,"Toronto, ON",2020,April,14000,165970.77244258900,165.97077244258900,65,400
EcoFuels Ltd.,"Toronto, ON",2020,May,14000,166283.9248434240,166.2839248434240,65,400
EcoFuels Ltd.,"Toronto, ON",2020,June,14000,166597.07724425900,166.59707724425900,65,400
EcoFuels Ltd.,"Toronto, ON",2020,July,14000,166910.22964509400,166.91022964509400,65,400
EcoFuels Ltd.,"Toronto, ON",2020,August,14000,167223.38204592900,167.22338204592900,65,400
EcoFuels Ltd.,"Toronto, ON",2020,September,14000,167536.5344467640,167.53653444676400,65,400
EcoFuels Ltd.,"Toronto, ON",2020,October,14000,167849.68684759900,167.84968684759900,65,400
EcoFuels Ltd.,"Toronto, ON",2020,November,14000,168162.83924843400,168.16283924843400,65,400
EcoFuels Ltd.,"Toronto, ON",2020,December,14000,168475.9916492690,168.4759916492690,65,400
EcoFuels Ltd.,"Toronto, ON",2021,January,14000,168789.14405010400,168.78914405010400,63,390
EcoFuels Ltd.,"Toronto, ON",2021,February,14000,169102.29645093900,169.10229645093900,63,390
EcoFuels Ltd.,"Toronto, ON",2021,March,14000,169415.44885177500,169.41544885177500,63,390
EcoFuels Ltd.,"Toronto, ON",2021,April,14000,169728.6012526100,169.7286012526100,63,390
EcoFuels Ltd.,"Toronto, ON",2021,May,14000,170041.75365344500,170.0417536534450,63,390
EcoFuels Ltd.,"Toronto, ON",2021,June,14000,170354.90605428000,170.35490605428000,63,390
EcoFuels Ltd.,"Toronto, ON",2021,July,14000,170668.05845511500,170.66805845511500,63,390
EcoFuels Ltd.,"Toronto, ON",2021,August,14000,170981.2108559500,170.98121085595000,63,390
EcoFuels Ltd.,"Toronto, ON",2021,September,14000,171294.36325678500,171.29436325678500,63,390
EcoFuels Ltd.,"Toronto, ON",2021,October,14000,171607.51565762000,171.60751565762000,63,390
EcoFuels Ltd.,"Toronto, ON",2021,November,14000,171920.6680584550,171.9206680584550,63,390
EcoFuels Ltd.,"Toronto, ON",2021,December,14000,172233.82045929000,172.2338204592900,63,390
EcoFuels Ltd.,"Toronto, ON",2022,January,14000,172546.97286012500,172.54697286012500,66,405
EcoFuels Ltd.,"Toronto, ON",2022,February,14000,172860.12526096000,172.86012526096000,66,405
EcoFuels Ltd.,"Toronto, ON",2022,March,14000,173173.2776617950,173.1732776617950,66,405
EcoFuels Ltd.,"Toronto, ON",2022,April,14000,173486.43006263000,173.4864300626310,66,405
EcoFuels Ltd.,"Toronto, ON",2022,May,14000,173799.58246346600,173.79958246346600,66,405
EcoFuels Ltd.,"Toronto, ON",2022,June,14000,174112.73486430100,174.11273486430100,66,405
EcoFuels Ltd.,"Toronto, ON",2022,July,14000,174425.8872651360,174.4258872651360,66,405
EcoFuels Ltd.,"Toronto, ON",2022,August,14000,174739.03966597100,174.73903966597100,66,405
EcoFuels Ltd.,"Toronto, ON",2022,September,14000,175052.19206680600,175.05219206680600,66,405
EcoFuels Ltd.,"Toronto, ON",2022,October,14000,175365.3444676410,175.3653444676410,66,405
EcoFuels Ltd.,"Toronto, ON",2022,November,14000,175678.49686847600,175.678496868476,66,405
EcoFuels Ltd.,"Toronto, ON",2022,December,14000,175991.64926931100,175.99164926931100,66,405
EcoFuels Ltd.,"Toronto, ON",2023,January,14000,176304.80167014600,176.30480167014600,67,395
EcoFuels Ltd.,"Toronto, ON",2023,February,14000,176617.9540709810,176.6179540709810,67,395
EcoFuels Ltd.,"Toronto, ON",2023,March,14000,176931.10647181600,176.9311064718160,67,395
EcoFuels Ltd.,"Toronto, ON",2023,April,14000,177244.25887265100,177.24425887265100,67,395
EcoFuels Ltd.,"Toronto, ON",2023,May,14000,177557.41127348600,177.55741127348600,67,395
