Company Name,Location,Year,Month,Gross Floor Area (m²),Monthly Water Use (L),Water Use Intensity (L/m²),Operating Hours per Week,Number of Employees
EcoBuild Solutions,Mississauga,2020,January,4793,142892,29.81,47,91
EcoBuild Solutions,Mississauga,2020,February,4701,156633,33.32,58,164
EcoBuild Solutions,Mississauga,2020,March,6892,116070,16.84,49,112
EcoBuild Solutions,Mississauga,2020,April,6976,93708,13.43,56,97
EcoBuild Solutions,Mississauga,2020,May,6491,103050,15.88,46,142
EcoBuild Solutions,Mississauga,2020,June,6062,117508,19.38,53,164
EcoBuild Solutions,Mississauga,2020,July,5535,125882,22.74,50,89
EcoBuild Solutions,Mississauga,2020,August,4854,137898,28.41,55,112
EcoBuild Solutions,Mississauga,2020,September,6749,104400,15.47,59,99
EcoBuild Solutions,Mississauga,2020,October,5140,167051,32.5,59,137
EcoBuild Solutions,Mississauga,2020,November,5682,148373,26.11,56,147
EcoBuild Solutions,Mississauga,2020,December,4900,145644,29.72,59,139
EcoBuild Solutions,Mississauga,2021,January,6724,155845,23.18,53,134
EcoBuild Solutions,Mississauga,2021,February,5490,115052,20.96,59,87
EcoBuild Solutions,Mississauga,2021,March,6623,133075,20.09,50,134
EcoBuild Solutions,Mississauga,2021,April,6214,111273,17.91,54,122
EcoBuild Solutions,Mississauga,2021,May,4699,154416,32.86,49,73
EcoBuild Solutions,Mississauga,2021,June,6931,185279,26.73,59,112
EcoBuild Solutions,Mississauga,2021,July,5542,140545,25.36,56,126
EcoBuild Solutions,Mississauga,2021,August,6418,112782,17.57,54,92
EcoBuild Solutions,Mississauga,2021,September,6502,115197,17.72,59,117
EcoBuild Solutions,Mississauga,2021,October,5736,161575,28.17,48,112
EcoBuild Solutions,Mississauga,2021,November,5402,163966,30.35,58,96
EcoBuild Solutions,Mississauga,2021,December,4748,154107,32.46,55,101
EcoBuild Solutions,Mississauga,2022,January,6680,108527,16.25,47,148
EcoBuild Solutions,Mississauga,2022,February,6273,101508,16.18,45,94
EcoBuild Solutions,Mississauga,2022,March,5839,177425,30.39,48,113
EcoBuild Solutions,Mississauga,2022,April,6909,94027,13.61,48,126
EcoBuild Solutions,Mississauga,2022,May,5836,169437,29.03,59,153
EcoBuild Solutions,Mississauga,2022,June,5712,111870,19.59,55,98
EcoBuild Solutions,Mississauga,2022,July,5615,94956,16.91,54,70
EcoBuild Solutions,Mississauga,2022,August,6212,167082,26.9,50,130
EcoBuild Solutions,Mississauga,2022,September,6684,165460,24.75,54,77
EcoBuild Solutions,Mississauga,2022,October,4799,133187,27.75,54,133
EcoBuild Solutions,Mississauga,2022,November,6669,156096,23.41,48,158
EcoBuild Solutions,Mississauga,2022,December,5647,169440,30.01,45,70
EcoBuild Solutions,Mississauga,2023,January,6525,182763,28.01,49,155
EcoBuild Solutions,Mississauga,2023,February,5945,143198,24.09,50,134
EcoBuild Solutions,Mississauga,2023,March,4579,132348,28.9,57,160
EcoBuild Solutions,Mississauga,2023,April,4747,177689,37.43,53,144
EcoBuild Solutions,Mississauga,2023,May,4938,166619,33.74,49,119
EcoBuild Solutions,Mississauga,2023,June,6419,94559,14.73,47,133
EcoBuild Solutions,Mississauga,2023,July,4660,132268,28.38,52,153
EcoBuild Solutions,Mississauga,2023,August,6645,176690,26.59,45,73
EcoBuild Solutions,Mississauga,2023,September,6194,90458,14.6,46,70
EcoBuild Solutions,Mississauga,2023,October,6999,118987,17.0,51,151
EcoBuild Solutions,Mississauga,2023,November,6420,145722,22.7,55,167
EcoBuild Solutions,Mississauga,2023,December,5189,136876,26.38,45,114
HydroClear Inc,Mississauga,2020,January,5889,152812,25.95,50,73
HydroClear Inc,Mississauga,2020,February,6510,133162,20.45,59,88
HydroClear Inc,Mississauga,2020,March,6249,188883,30.23,47,94
HydroClear Inc,Mississauga,2020,April,6654,140335,21.09,54,93
HydroClear Inc,Mississauga,2020,May,6843,180458,26.37,52,128
HydroClear Inc,Mississauga,2020,June,6193,175273,28.3,54,120
HydroClear Inc,Mississauga,2020,July,6653,160718,24.16,59,147
HydroClear Inc,Mississauga,2020,August,4725,95342,20.18,47,98
HydroClear Inc,Mississauga,2020,September,5381,169862,31.57,58,102
HydroClear Inc,Mississauga,2020,October,6698,189310,28.26,57,109
HydroClear Inc,Mississauga,2020,November,5385,170401,31.64,47,103
HydroClear Inc,Mississauga,2020,December,5284,156646,29.65,49,77
HydroClear Inc,Mississauga,2021,January,6540,157468,24.08,54,140
HydroClear Inc,Mississauga,2021,February,6737,101193,15.02,46,108
HydroClear Inc,Mississauga,2021,March,5459,151209,27.7,47,128
HydroClear Inc,Mississauga,2021,April,6691,158145,23.64,59,116
HydroClear Inc,Mississauga,2021,May,5137,156320,30.43,45,114
HydroClear Inc,Mississauga,2021,June,6086,130147,21.38,45,96
HydroClear Inc,Mississauga,2021,July,5085,158969,31.26,47,156
