Company Name,Location,Year,Month,Gross Floor Area (m²),Monthly Water Use (L),Water Use Intensity (L/m²),Operating Hours per Week,Number of Employees
WaterWave Corp,Ottawa,2020,January,6472,111991,17.3,44,79
WaterWave Corp,Ottawa,2020,February,4768,117131,24.57,52,140
WaterWave Corp,Ottawa,2020,March,5481,106726,19.47,49,153
WaterWave Corp,Ottawa,2020,April,5997,167610,27.95,48,70
WaterWave Corp,Ottawa,2020,May,4906,119235,24.3,53,104
WaterWave Corp,Ottawa,2020,June,6087,164174,26.97,42,64
WaterWave Corp,Ottawa,2020,July,4118,118420,28.76,44,156
WaterWave Corp,Ottawa,2020,August,4684,98119,20.95,45,158
WaterWave Corp,Ottawa,2020,September,4182,110759,26.48,48,134
WaterWave Corp,Ottawa,2020,October,6108,97240,15.92,51,90
WaterWave Corp,Ottawa,2020,November,5325,87384,16.41,51,63
WaterWave Corp,Ottawa,2020,December,5165,134040,25.95,47,131
WaterWave Corp,Ottawa,2021,January,5274,118202,22.41,41,147
WaterWave Corp,Ottawa,2021,February,4127,178375,43.22,41,140
WaterWave Corp,Ottawa,2021,March,5692,107377,18.86,54,139
WaterWave Corp,Ottawa,2021,April,5075,174939,34.47,50,65
WaterWave Corp,Ottawa,2021,May,5842,130454,22.33,48,83
WaterWave Corp,Ottawa,2021,June,4681,134643,28.76,50,88
WaterWave Corp,Ottawa,2021,July,5681,107925,19.0,52,115
WaterWave Corp,Ottawa,2021,August,4400,95774,21.77,45,120
WaterWave Corp,Ottawa,2021,September,6344,141256,22.27,51,74
WaterWave Corp,Ottawa,2021,October,5346,176589,33.03,43,67
WaterWave Corp,Ottawa,2021,November,5160,85968,16.66,51,130
WaterWave Corp,Ottawa,2021,December,5627,88667,15.76,42,80
WaterWave Corp,Ottawa,2022,January,4034,166565,41.29,42,104
WaterWave Corp,Ottawa,2022,February,6369,88111,13.83,53,152
WaterWave Corp,Ottawa,2022,March,5055,179593,35.53,42,150
WaterWave Corp,Ottawa,2022,April,4806,115089,23.95,40,65
WaterWave Corp,Ottawa,2022,May,6347,88933,14.01,52,66
WaterWave Corp,Ottawa,2022,June,5100,98299,19.27,43,96
WaterWave Corp,Ottawa,2022,July,5839,124586,21.34,41,69
WaterWave Corp,Ottawa,2022,August,5364,150432,28.04,54,123
WaterWave Corp,Ottawa,2022,September,4734,155109,32.76,41,61
WaterWave Corp,Ottawa,2022,October,4509,146226,32.43,54,120
