Company Name,Location,Year,Month,Gross Floor Area (m²),Monthly Water Use (L),Water Use Intensity (L/m²),Operating Hours per Week,Number of Employees
PureWater Inc,Toronto,2020,January,6170,166978,27.06,59,132
PureWater Inc,Toronto,2020,February,4517,196059,43.4,57,93
PureWater Inc,Toronto,2020,March,6527,92182,14.12,47,177
PureWater Inc,Toronto,2020,April,4723,105586,22.36,49,122
PureWater Inc,Toronto,2020,May,5053,195699,38.73,58,165
PureWater Inc,Toronto,2020,June,6415,160377,25.0,58,103
PureWater Inc,Toronto,2020,July,6108,154019,25.22,59,81
PureWater Inc,Toronto,2020,August,4544,195894,43.11,49,97
PureWater Inc,Toronto,2020,September,6819,124509,18.26,57,123
PureWater Inc,Toronto,2020,October,4928,178316,36.18,57,127
PureWater Inc,Toronto,2020,November,6454,184573,28.6,48,126
PureWater Inc,Toronto,2020,December,6856,153819,22.44,48,128
PureWater Inc,Toronto,2021,January,5107,125521,24.58,58,115
PureWater Inc,Toronto,2021,February,4979,100587,20.2,56,134
PureWater Inc,Toronto,2021,March,6042,170567,28.23,49,95
PureWater Inc,Toronto,2021,April,6640,160376,24.15,58,144
PureWater Inc,Toronto,2021,May,5584,91623,16.41,51,75
PureWater Inc,Toronto,2021,June,5982,188434,31.5,54,179
PureWater Inc,Toronto,2021,July,6664,140705,21.11,46,131
PureWater Inc,Toronto,2021,August,5704,141467,24.8,56,145
PureWater Inc,Toronto,2021,September,5007,114013,22.77,56,110
PureWater Inc,Toronto,2021,October,5662,136632,24.13,55,124
PureWater Inc,Toronto,2021,November,5104,171656,33.63,46,121
PureWater Inc,Toronto,2021,December,6722,141684,21.08,52,76
PureWater Inc,Toronto,2022,January,4835,99246,20.53,59,127
PureWater Inc,Toronto,2022,February,5624,128276,22.81,54,90
PureWater Inc,Toronto,2022,March,4886,166203,34.02,54,75
PureWater Inc,Toronto,2022,April,6554,96576,14.74,59,166
PureWater Inc,Toronto,2022,May,6606,164111,24.84,47,119
PureWater Inc,Toronto,2022,June,5519,195124,35.35,52,74
PureWater Inc,Toronto,2022,July,6349,124359,19.59,59,113
PureWater Inc,Toronto,2022,August,4943,138534,28.03,57,175
PureWater Inc,Toronto,2022,September,5878,180848,30.77,52,177
PureWater Inc,Toronto,2022,October,4750,141165,29.72,59,76
PureWater Inc,Toronto,2022,November,6035,148162,24.55,51,164
PureWater Inc,Toronto,2022,December,5691,158066,27.77,58,76
PureWater Inc,Toronto,2023,January,6252,165778,26.52,58,168
PureWater Inc,Toronto,2023,February,6666,117857,17.68,54,151
PureWater Inc,Toronto,2023,March,5333,92923,17.42,59,173
PureWater Inc,Toronto,2023,April,5873,173717,29.58,46,150
PureWater Inc,Toronto,2023,May,5748,119568,20.8,57,85
PureWater Inc,Toronto,2023,June,5095,95046,18.65,57,92
PureWater Inc,Toronto,2023,July,5627,144888,25.75,59,101
PureWater Inc,Toronto,2023,August,6762,97360,14.4,51,107
PureWater Inc,Toronto,2023,September,4785,93075,19.45,52,140
PureWater Inc,Toronto,2023,October,5293,102606,19.39,56,85
PureWater Inc,Toronto,2023,November,6010,126906,21.12,56,99
PureWater Inc,Toronto,2023,December,4898,93686,19.13,50,92
EcoPure Solutions,Toronto,2020,January,4683,186024,39.72,57,137
