Company Name,Location,Year,Month,Gross Floor Area (m²),Monthly Electricity Use (kWh),Electricity Use Intensity (kWh/m²),Operating Hours per Week,Number of Employees
EduSmart Learning,"Hamilton, ON",2020,January,15000,187500.0,150,70,250
EduSmart Learning,"Hamilton, ON",2020,February,15000,187500.0,150,70,250
EduSmart Learning,"Hamilton, ON",2020,March,15000,187500.0,150,70,250
EduSmart Learning,"Hamilton, ON",2020,April,15000,187500.0,150,70,250
EduSmart Learning,"Hamilton, ON",2020,May,15000,187500.0,150,70,250
EduSmart Learning,"Hamilton, ON",2020,June,15000,187500.0,150,70,250
EduSmart Learning,"Hamilton, ON",2020,July,15000,187500.0,150,70,250
EduSmart Learning,"Hamilton, ON",2020,August,15000,187500.0,150,70,250
EduSmart Learning,"Hamilton, ON",2020,September,15000,187500.0,150,70,250
EduSmart Learning,"Hamilton, ON",2020,October,15000,187500.0,150,70,250
EduSmart Learning,"Hamilton, ON",2020,November,15000,187500.0,150,70,250
EduSmart Learning,"Hamilton, ON",2020,December,15000,187500.0,150,70,250
EduSmart Learning,"Hamilton, ON",2021,January,15000,191666.66666666700,155,72,255
EduSmart Learning,"Hamilton, ON",2021,February,15000,191666.66666666700,155,72,255
EduSmart Learning,"Hamilton, ON",2021,March,15000,191666.66666666700,155,72,255
EduSmart Learning,"Hamilton, ON",2021,April,15000,191666.66666666700,155,72,255
EduSmart Learning,"Hamilton, ON",2021,May,15000,191666.66666666700,155,72,255
EduSmart Learning,"Hamilton, ON",2021,June,15000,191666.66666666700,155,72,255
EduSmart Learning,"Hamilton, ON",2021,July,15000,191666.66666666700,155,72,255
EduSmart Learning,"Hamilton, ON",2021,August,15000,191666.66666666700,155,72,255
EduSmart Learning,"Hamilton, ON",2021,September,15000,191666.66666666700,155,72,255
EduSmart Learning,"Hamilton, ON",2021,October,15000,191666.66666666700,155,72,255
EduSmart Learning,"Hamilton, ON",2021,November,15000,191666.66666666700,155,72,255
EduSmart Learning,"Hamilton, ON",2021,December,15000,191666.66666666700,155,72,255
EduSmart Learning,"Hamilton, ON",2022,January,15000,195833.33333333300,160,74,260
EduSmart Learning,"Hamilton, ON",2022,February,15000,195833.33333333300,160,74,260
EduSmart Learning,"Hamilton, ON",2022,March,15000,195833.33333333300,160,74,260
EduSmart Learning,"Hamilton, ON",2022,April,15000,195833.33333333300,160,74,260
EduSmart Learning,"Hamilton, ON",2022,May,15000,195833.33333333300,160,74,260
EduSmart Learning,"Hamilton, ON",2022,June,15000,195833.33333333300,160,74,260
EduSmart Learning,"Hamilton, ON",2022,July,15000,195833.33333333300,160,74,260
EduSmart Learning,"Hamilton, ON",2022,August,15000,195833.33333333300,160,74,260
EduSmart Learning,"Hamilton, ON",2022,September,15000,195833.33333333300,160,74,260
EduSmart Learning,"Hamilton, ON",2022,October,15000,195833.33333333300,160,74,260
EduSmart Learning,"Hamilton, ON",2022,November,15000,195833.33333333300,160,74,260
EduSmart Learning,"Hamilton, ON",2022,December,15000,195833.33333333300,160,74,260
EduSmart Learning,"Hamilton, ON",2023,January,15000,200000.0,165,76,265
EduSmart Learning,"Hamilton, ON",2023,February,15000,200000.0,165,76,265
EduSmart Learning,"Hamilton, ON",2023,March,15000,200000.0,165,76,265
EduSmart Learning,"Hamilton, ON",2023,April,15000,200000.0,165,76,265
EduSmart Learning,"Hamilton, ON",2023,May,15000,200000.0,165,76,265
EduSmart Learning,"Hamilton, ON",2023,June,15000,200000.0,165,76,265
EduSmart Learning,"Hamilton, ON",2023,July,15000,200000.0,165,76,265
EduSmart Learning,"Hamilton, ON",2023,August,15000,200000.0,165,76,265
EduSmart Learning,"Hamilton, ON",2023,September,15000,200000.0,165,76,265
EduSmart Learning,"Hamilton, ON",2023,October,15000,200000.0,165,76,265
EduSmart Learning,"Hamilton, ON",2023,November,15000,200000.0,165,76,265
EduSmart Learning,"Hamilton, ON",2023,December,15000,200000.0,165,76,265
MedEquip Supplies,"Hamilton, ON",2020,January,10000,125000.0,150,60,200
MedEquip Supplies,"Hamilton, ON",2020,February,10000,125000.0,150,60,200
MedEquip Supplies,"Hamilton, ON",2020,March,10000,125000.0,150,60,200
MedEquip Supplies,"Hamilton, ON",2020,April,10000,125000.0,150,60,200
MedEquip Supplies,"Hamilton, ON",2020,May,10000,125000.0,150,60,200
MedEquip Supplies,"Hamilton, ON",2020,June,10000,125000.0,150,60,200
MedEquip Supplies,"Hamilton, ON",2020,July,10000,125000.0,150,60,200
MedEquip Supplies,"Hamilton, ON",2020,August,10000,125000.0,150,60,200
MedEquip Supplies,"Hamilton, ON",2020,September,10000,125000.0,150,60,200
MedEquip Supplies,"Hamilton, ON",2020,October,10000,125000.0,150,60,200
MedEquip Supplies,"Hamilton, ON",2020,November,10000,125000.0,150,60,200
MedEquip Supplies,"Hamilton, ON",2020,December,10000,125000.0,150,60,200
MedEquip Supplies,"Hamilton, ON",2021,January,10000,129166.66666666700,155,62,205
MedEquip Supplies,"Hamilton, ON",2021,February,10000,129166.66666666700,155,62,205
MedEquip Supplies,"Hamilton, ON",2021,March,10000,129166.66666666700,155,62,205
MedEquip Supplies,"Hamilton, ON",2021,April,10000,129166.66666666700,155,62,205
MedEquip Supplies,"Hamilton, ON",2021,May,10000,129166.66666666700,155,62,205
MedEquip Supplies,"Hamilton, ON",2021,June,10000,129166.66666666700,155,62,205
MedEquip Supplies,"Hamilton, ON",2021,July,10000,129166.66666666700,155,62,205
MedEquip Supplies,"Hamilton, ON",2021,August,10000,129166.66666666700,155,62,205
MedEquip Supplies,"Hamilton, ON",2021,September,10000,129166.66666666700,155,62,205
MedEquip Supplies,"Hamilton, ON",2021,October,10000,129166.66666666700,155,62,205
MedEquip Supplies,"Hamilton, ON",2021,November,10000,129166.66666666700,155,62,205
MedEquip Supplies,"Hamilton, ON",2021,December,10000,129166.66666666700,155,62,205
MedEquip Supplies,"Hamilton, ON",2022,January,10000,133333.33333333300,160,64,210
MedEquip Supplies,"Hamilton, ON",2022,February,10000,133333.33333333300,160,64,210
MedEquip Supplies,"Hamilton, ON",2022,March,10000,133333.33333333300,160,64,210
MedEquip Supplies,"Hamilton, ON",2022,April,10000,133333.33333333300,160,64,210
MedEquip Supplies,"Hamilton, ON",2022,May,10000,133333.33333333300,160,64,210
MedEquip Supplies,"Hamilton, ON",2022,June,10000,133333.33333333300,160,64,210
MedEquip Supplies,"Hamilton, ON",2022,July,10000,133333.33333333300,160,64,210
MedEquip Supplies,"Hamilton, ON",2022,August,10000,133333.33333333300,160,64,210
MedEquip Supplies,"Hamilton, ON",2022,September,10000,133333.33333333300,160,64,210
MedEquip Supplies,"Hamilton, ON",2022,October,10000,133333.33333333300,160,64,210
MedEquip Supplies,"Hamilton, ON",2022,November,10000,133333.33333333300,160,64,210
MedEquip Supplies,"Hamilton, ON",2022,December,10000,133333.33333333300,160,64,210
MedEquip Supplies,"Hamilton, ON",2023,January,10000,137500.0,165,66,215
MedEquip Supplies,"Hamilton, ON",2023,February,10000,137500.0,165,66,215
MedEquip Supplies,"Hamilton, ON",2023,March,10000,137500.0,165,66,215
MedEquip Supplies,"Hamilton, ON",2023,April,10000,137500.0,165,66,215
MedEquip Supplies,"Hamilton, ON",2023,May,10000,137500.0,165,66,215
MedEquip Supplies,"Hamilton, ON",2023,June,10000,137500.0,165,66,215
MedEquip Supplies,"Hamilton, ON",2023,July,10000,137500.0,165,66,215
MedEquip Supplies,"Hamilton, ON",2023,August,10000,137500.0,165,66,215
MedEquip Supplies,"Hamilton, ON",2023,September,10000,137500.0,165,66,215
MedEquip Supplies,"Hamilton, ON",2023,October,10000,137500.0,165,66,215
MedEquip Supplies,"Hamilton, ON",2023,November,10000,137500.0,165,66,215
MedEquip Supplies,"Hamilton, ON",2023,December,10000,137500.0,165,66,215
AgroGoods Ltd.,"Hamilton, ON",2020,January,30000,500000.0,200,150,700
AgroGoods Ltd.,"Hamilton, ON",2020,February,30000,500000.0,200,150,700
AgroGoods Ltd.,"Hamilton, ON",2020,March,30000,500000.0,200,150,700
AgroGoods Ltd.,"Hamilton, ON",2020,April,30000,500000.0,200,150,700
AgroGoods Ltd.,"Hamilton, ON",2020,May,30000,500000.0,200,150,700
AgroGoods Ltd.,"Hamilton, ON",2020,June,30000,500000.0,200,150,700
AgroGoods Ltd.,"Hamilton, ON",2020,July,30000,500000.0,200,150,700
AgroGoods Ltd.,"Hamilton, ON",2020,August,30000,500000.0,200,150,700
AgroGoods Ltd.,"Hamilton, ON",2020,September,30000,500000.0,200,150,700
AgroGoods Ltd.,"Hamilton, ON",2020,October,30000,500000.0,200,150,700
AgroGoods Ltd.,"Hamilton, ON",2020,November,30000,500000.0,200,150,700
AgroGoods Ltd.,"Hamilton, ON",2020,December,30000,500000.0,200,150,700
AgroGoods Ltd.,"Hamilton, ON",2021,January,30000,508333.3333333330,205,155,710
AgroGoods Ltd.,"Hamilton, ON",2021,February,30000,508333.3333333330,205,155,710
AgroGoods Ltd.,"Hamilton, ON",2021,March,30000,508333.3333333330,205,155,710
AgroGoods Ltd.,"Hamilton, ON",2021,April,30000,508333.3333333330,205,155,710
AgroGoods Ltd.,"Hamilton, ON",2021,May,30000,508333.3333333330,205,155,710
AgroGoods Ltd.,"Hamilton, ON",2021,June,30000,508333.3333333330,205,155,710
AgroGoods Ltd.,"Hamilton, ON",2021,July,30000,508333.3333333330,205,155,710
AgroGoods Ltd.,"Hamilton, ON",2021,August,30000,508333.3333333330,205,155,710
AgroGoods Ltd.,"Hamilton, ON",2021,September,30000,508333.3333333330,205,155,710
AgroGoods Ltd.,"Hamilton, ON",2021,October,30000,508333.3333333330,205,155,710
AgroGoods Ltd.,"Hamilton, ON",2021,November,30000,508333.3333333330,205,155,710
AgroGoods Ltd.,"Hamilton, ON",2021,December,30000,508333.3333333330,205,155,710
AgroGoods Ltd.,"Hamilton, ON",2022,January,30000,516666.6666666670,210,160,720
AgroGoods Ltd.,"Hamilton, ON",2022,February,30000,516666.6666666670,210,160,720
AgroGoods Ltd.,"Hamilton, ON",2022,March,30000,516666.6666666670,210,160,720
AgroGoods Ltd.,"Hamilton, ON",2022,April,30000,516666.6666666670,210,160,720
AgroGoods Ltd.,"Hamilton, ON",2022,May,30000,516666.6666666670,210,160,720
AgroGoods Ltd.,"Hamilton, ON",2022,June,30000,516666.6666666670,210,160,720
AgroGoods Ltd.,"Hamilton, ON",2022,July,30000,516666.6666666670,210,160,720
AgroGoods Ltd.,"Hamilton, ON",2022,August,30000,516666.6666666670,210,160,720
AgroGoods Ltd.,"Hamilton, ON",2022,September,30000,516666.6666666670,210,160,720
AgroGoods Ltd.,"Hamilton, ON",2022,October,30000,516666.6666666670,210,160,720
AgroGoods Ltd.,"Hamilton, ON",2022,November,30000,516666.6666666670,210,160,720
AgroGoods Ltd.,"Hamilton, ON",2022,December,30000,516666.6666666670,210,160,720
AgroGoods Ltd.,"Hamilton, ON",2023,January,30000,525000.0,215,165,730
AgroGoods Ltd.,"Hamilton, ON",2023,February,30000,525000.0,215,165,730
AgroGoods Ltd.,"Hamilton, ON",2023,March,30000,525000.0,215,165,730
AgroGoods Ltd.,"Hamilton, ON",2023,April,30000,525000.0,215,165,730
AgroGoods Ltd.,"Hamilton, ON",2023,May,30000,525000.0,215,165,730
AgroGoods Ltd.,"Hamilton, ON",2023,June,30000,525000.0,215,165,730
AgroGoods Ltd.,"Hamilton, ON",2023,July,30000,525000.0,215,165,730
AgroGoods Ltd.,"Hamilton, ON",2023,August,30000,525000.0,215,165,730
AgroGoods Ltd.,"Hamilton, ON",2023,September,30000,525000.0,215,165,730
AgroGoods Ltd.,"Hamilton, ON",2023,October,30000,525000.0,215,165,730
AgroGoods Ltd.,"Hamilton, ON",2023,November,30000,525000.0,215,165,730
AgroGoods Ltd.,"Hamilton, ON",2023,December,30000,525000.0,215,165,730
GreenWave Recycling,"Hamilton, ON",2020,January,5000,62500.0,150,40,80
GreenWave Recycling,"Hamilton, ON",2020,February,5000,62500.0,150,40,80
GreenWave Recycling,"Hamilton, ON",2020,March,5000,62500.0,150,40,80
GreenWave Recycling,"Hamilton, ON",2020,April,5000,62500.0,150,40,80
GreenWave Recycling,"Hamilton, ON",2020,May,5000,62500.0,150,40,80
GreenWave Recycling,"Hamilton, ON",2020,June,5000,62500.0,150,40,80
GreenWave Recycling,"Hamilton, ON",2020,July,5000,62500.0,150,40,80
GreenWave Recycling,"Hamilton, ON",2020,August,5000,62500.0,150,40,80
GreenWave Recycling,"Hamilton, ON",2020,September,5000,62500.0,150,40,80
GreenWave Recycling,"Hamilton, ON",2020,October,5000,62500.0,150,40,80
GreenWave Recycling,"Hamilton, ON",2020,November,5000,62500.0,150,40,80
GreenWave Recycling,"Hamilton, ON",2020,December,5000,62500.0,150,40,80
GreenWave Recycling,"Hamilton, ON",2021,January,5000,63333.333333333300,155,42,85
GreenWave Recycling,"Hamilton, ON",2021,February,5000,63333.333333333300,155,42,85
GreenWave Recycling,"Hamilton, ON",2021,March,5000,63333.333333333300,155,42,85
GreenWave Recycling,"Hamilton, ON",2021,April,5000,63333.333333333300,155,42,85
GreenWave Recycling,"Hamilton, ON",2021,May,5000,63333.333333333300,155,42,85
GreenWave Recycling,"Hamilton, ON",2021,June,5000,63333.333333333300,155,42,85
GreenWave Recycling,"Hamilton, ON",2021,July,5000,63333.333333333300,155,42,85
GreenWave Recycling,"Hamilton, ON",2021,August,5000,63333.333333333300,155,42,85
