Company Name,Location,Year,Month,Gross Floor Area (m²),Monthly Electricity Use (kWh),Electricity Use Intensity (kWh/m²),Operating Hours per Week,Number of Employees
Green Solutions Ltd.,"Ottawa, ON",2020,January,8000,79166.66666666670,118,50,300
Green Solutions Ltd.,"Ottawa, ON",2020,February,8000,79166.66666666670,118,50,300
Green Solutions Ltd.,"Ottawa, ON",2020,March,8000,79166.66666666670,118,50,300
Green Solutions Ltd.,"Ottawa, ON",2020,April,8000,79166.66666666670,118,50,300
Green Solutions Ltd.,"Ottawa, ON",2020,May,8000,79166.66666666670,118,50,300
Green Solutions Ltd.,"Ottawa, ON",2020,June,8000,79166.66666666670,118,50,300
Green Solutions Ltd.,"Ottawa, ON",2020,July,8000,79166.66666666670,118,50,300
Green Solutions Ltd.,"Ottawa, ON",2020,August,8000,79166.66666666670,118,50,300
Green Solutions Ltd.,"Ottawa, ON",2020,September,8000,79166.66666666670,118,50,300
Green Solutions Ltd.,"Ottawa, ON",2020,October,8000,79166.66666666670,118,50,300
Green Solutions Ltd.,"Ottawa, ON",2020,November,8000,79166.66666666670,118,50,300
Green Solutions Ltd.,"Ottawa, ON",2020,December,8000,79166.66666666670,118,50,300
Green Solutions Ltd.,"Ottawa, ON",2021,January,8000,83333.33333333330,125,52,310
Green Solutions Ltd.,"Ottawa, ON",2021,February,8000,83333.33333333330,125,52,310
Green Solutions Ltd.,"Ottawa, ON",2021,March,8000,83333.33333333330,125,52,310
Green Solutions Ltd.,"Ottawa, ON",2021,April,8000,83333.33333333330,125,52,310
Green Solutions Ltd.,"Ottawa, ON",2021,May,8000,83333.33333333330,125,52,310
Green Solutions Ltd.,"Ottawa, ON",2021,June,8000,83333.33333333330,125,52,310
Green Solutions Ltd.,"Ottawa, ON",2021,July,8000,83333.33333333330,125,52,310
Green Solutions Ltd.,"Ottawa, ON",2021,August,8000,83333.33333333330,125,52,310
Green Solutions Ltd.,"Ottawa, ON",2021,September,8000,83333.33333333330,125,52,310
Green Solutions Ltd.,"Ottawa, ON",2021,October,8000,83333.33333333330,125,52,310
Green Solutions Ltd.,"Ottawa, ON",2021,November,8000,83333.33333333330,125,52,310
Green Solutions Ltd.,"Ottawa, ON",2021,December,8000,83333.33333333330,125,52,310
Green Solutions Ltd.,"Ottawa, ON",2022,January,8000,87500.0,131,53,315
Green Solutions Ltd.,"Ottawa, ON",2022,February,8000,87500.0,131,53,315
Green Solutions Ltd.,"Ottawa, ON",2022,March,8000,87500.0,131,53,315
Green Solutions Ltd.,"Ottawa, ON",2022,April,8000,87500.0,131,53,315
Green Solutions Ltd.,"Ottawa, ON",2022,May,8000,87500.0,131,53,315
Green Solutions Ltd.,"Ottawa, ON",2022,June,8000,87500.0,131,53,315
Green Solutions Ltd.,"Ottawa, ON",2022,July,8000,87500.0,131,53,315
Green Solutions Ltd.,"Ottawa, ON",2022,August,8000,87500.0,131,53,315
Green Solutions Ltd.,"Ottawa, ON",2022,September,8000,87500.0,131,53,315
Green Solutions Ltd.,"Ottawa, ON",2022,October,8000,87500.0,131,53,315
Green Solutions Ltd.,"Ottawa, ON",2022,November,8000,87500.0,131,53,315
Green Solutions Ltd.,"Ottawa, ON",2022,December,8000,87500.0,131,53,315
Green Solutions Ltd.,"Ottawa, ON",2023,January,8000,91666.66666666670,138,55,320
Green Solutions Ltd.,"Ottawa, ON",2023,February,8000,91666.66666666670,138,55,320
Green Solutions Ltd.,"Ottawa, ON",2023,March,8000,91666.66666666670,138,55,320
Green Solutions Ltd.,"Ottawa, ON",2023,April,8000,91666.66666666670,138,55,320
Green Solutions Ltd.,"Ottawa, ON",2023,May,8000,91666.66666666670,138,55,320
Green Solutions Ltd.,"Ottawa, ON",2023,June,8000,91666.66666666670,138,55,320
Green Solutions Ltd.,"Ottawa, ON",2023,July,8000,91666.66666666670,138,55,320
Green Solutions Ltd.,"Ottawa, ON",2023,August,8000,91666.66666666670,138,55,320
Green Solutions Ltd.,"Ottawa, ON",2023,September,8000,91666.66666666670,138,55,320
Green Solutions Ltd.,"Ottawa, ON",2023,October,8000,91666.66666666670,138,55,320
Green Solutions Ltd.,"Ottawa, ON",2023,November,8000,91666.66666666670,138,55,320
Green Solutions Ltd.,"Ottawa, ON",2023,December,8000,91666.66666666670,138,55,320
AutoDrive Manufacturing,"Ottawa, ON",2020,January,25000,400000.0,192,95,580
AutoDrive Manufacturing,"Ottawa, ON",2020,February,25000,400000.0,192,95,580
AutoDrive Manufacturing,"Ottawa, ON",2020,March,25000,400000.0,192,95,580
AutoDrive Manufacturing,"Ottawa, ON",2020,April,25000,400000.0,192,95,580
AutoDrive Manufacturing,"Ottawa, ON",2020,May,25000,400000.0,192,95,580
AutoDrive Manufacturing,"Ottawa, ON",2020,June,25000,400000.0,192,95,580
AutoDrive Manufacturing,"Ottawa, ON",2020,July,25000,400000.0,192,95,580
AutoDrive Manufacturing,"Ottawa, ON",2020,August,25000,400000.0,192,95,580
AutoDrive Manufacturing,"Ottawa, ON",2020,September,25000,400000.0,192,95,580
AutoDrive Manufacturing,"Ottawa, ON",2020,October,25000,400000.0,192,95,580
AutoDrive Manufacturing,"Ottawa, ON",2020,November,25000,400000.0,192,95,580
AutoDrive Manufacturing,"Ottawa, ON",2020,December,25000,400000.0,192,95,580
AutoDrive Manufacturing,"Ottawa, ON",2021,January,25000,408333.3333333330,196,98,590
AutoDrive Manufacturing,"Ottawa, ON",2021,February,25000,408333.3333333330,196,98,590
AutoDrive Manufacturing,"Ottawa, ON",2021,March,25000,408333.3333333330,196,98,590
AutoDrive Manufacturing,"Ottawa, ON",2021,April,25000,408333.3333333330,196,98,590
AutoDrive Manufacturing,"Ottawa, ON",2021,May,25000,408333.3333333330,196,98,590
AutoDrive Manufacturing,"Ottawa, ON",2021,June,25000,408333.3333333330,196,98,590
AutoDrive Manufacturing,"Ottawa, ON",2021,July,25000,408333.3333333330,196,98,590
AutoDrive Manufacturing,"Ottawa, ON",2021,August,25000,408333.3333333330,196,98,590
AutoDrive Manufacturing,"Ottawa, ON",2021,September,25000,408333.3333333330,196,98,590
AutoDrive Manufacturing,"Ottawa, ON",2021,October,25000,408333.3333333330,196,98,590
AutoDrive Manufacturing,"Ottawa, ON",2021,November,25000,408333.3333333330,196,98,590
AutoDrive Manufacturing,"Ottawa, ON",2021,December,25000,408333.3333333330,196,98,590
AutoDrive Manufacturing,"Ottawa, ON",2022,January,25000,416666.6666666670,200,100,600
AutoDrive Manufacturing,"Ottawa, ON",2022,February,25000,416666.6666666670,200,100,600
AutoDrive Manufacturing,"Ottawa, ON",2022,March,25000,416666.6666666670,200,100,600
